Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
Abies alba,LC,5,-2,-1,●,●,●,●,VU,●,●,●,●,●,●,●,●,●,●,,Eur,B
Tanne,"In der 1. Auflage der Roten Liste infolge des ""Waldsterbens"" als ""stark gefährdet"", nach Erholung der Bestände in der 2. Auflage nur noch als ""gefährdet"" und nach anhaltender Verbesserung der Bestände heute als nicht mehr gefährdet eingestuft. Die Tanne steht aber nach wie vor durch Großkahlschläge und starken Verbiss der Jungbäume unter Druck; vor allem in Staulagen treten Immissionsschäden auf. In forstwirtschaftlich intensiv genutzten Wäldern vielfach nur mehr Einzelbäume. Im Pannonikum nur randlich.",,,,,,,,,,,,,,,,,,,,,
Abutilon theophrasti,n,,,,,,,,,u,u,u,u,u,e,e,e,e,e,,,S
Europäische Samtpappel,,,,,,,,,,,,,,,,,,,,,,
Acer campestre,LC,5,0,0,●,●,●,●,●,●,●,e,●,●,●,●,●,●,●,,Euras (Hol),B
Feld-Ahorn,Im westlichen Alpengebiet gefährdet.,,,,,,,,,,,,,,,,,,,,,
Acer monspessulanum,n,,,,,,,,,,,,u,?,u,,le,u,,,,B
Montpellier-Ahorn,,,,,,,,,,,,,,,,,,,,,,
Acer negundo,n,,,,,,,,,e,e,le,e,e,e,e,e,e,e,,,B
Eschen-Ahorn,,,,,,,,,,,,,,,,,,,,,,
Acer platanoides,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),B
Spitz-Ahorn,,,,,,,,,,,,,,,,,,,,,,
Acer pseudoplatanus,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),B
Berg-Ahorn,,,,,,,,,,,,,,,,,,,,,,
Acer saccharinum,n,,,,,,,,,u,u,u,u,–,u,le?,le?,u,u,,,B
Silber-Ahorn,,,,,,,,,,,,,,,,,,,,,,
Acer tataricum s.str.,VU,1,0,-1,,,,,●*,,,,,,,,le,u,●*,,Euras (Hol),B
Tataren-Ahorn,Das Indigenat der nordburgenländischen Vorkommen ist unsicher. Bei Marchegg nur lokal eingebürgert (Helm & al. 2021).,,,,,,,,,,,,,,,,,,,,,
Achillea aspleniifolia,EN,2,-2,-2,,RE?,,RE?,●,,,,,–,,,●,,●,,Eur,S
(A. millefolium agg.),"Gemanagte Populationen im Wiener Becken und am Neusiedler See, mittelfristig aber durch Grundwasserabsenkung gefährdet. Sonst überall sehr starker Rückgang bis vom Aussterben bedroht.",,,,,,,,,,,,,,,,,,,,,
Farnblättrige Schafgarbe,,,,,,,,,,,,,,,,,,,,,,
Achillea atrata s.str.,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Alp,S
Schwarzrandige Schafgarbe,,,,,,,,,,,,,,,,,,,,,,
Achillea clavenae,LC,4,0,0,●,,,,,le,●,●,●,●,●,●,●,,,,Eur,S
Steinraute,,,,,,,,,,,,,,,,,,,,,,
Achillea clusiana,LC,2,0,0,●,,,,,,,,,,●,●,●,,,E,NE-Alp!,S
Clusius-Schafgarbe,,,,,,,,,,,,,,,,,,,,,,
Achillea collina,LC,4,-1,-1,VU,NT,VU,VU,●,–,?,●,?,●,●,●,●,●,●,,Eur,S
(A. millefolium agg.),Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Hügel-Schafgarbe,,,,,,,,,,,,,,,,,,,,,,
Achillea distans s.str.,DD,?,?,?,,●,,,●,,,,,●,,?,●,,●,,Eur,S
(A. millefolium agg.),Taxonomisch unzureichend bekannt.,,,,,,,,,,,,,,,,,,,,,
Zahnblättrige Schafgarbe,,,,,,,,,,,,,,,,,,,,,,
Achillea macrophylla,LC,2,0,0,●,,,,,●,●,●,,●,,,,,,,Eur,S
Großblättrige Schafgarbe,,,,,,,,,,,,,,,,,,,,,,
