GUID,Taxon,Synonymie,Aggregatzugehörigkeit,Taxonname deutsch,Nordtirol,Nordtirol,Nordtirol,Nordtirol,Osttirol,Osttirol,Osttirol,Osttirol,Kommentar
,,,,,RL,A,B,R,RL,A,B,R,
A5D220F0-0260-4BFE-9641-38CF709AD98D,Abies alba,,,Weiß-Tanne,LC,5,-1,-1,NT,4,-2,-1,
CDA940D1-16CC-4023-8168-FCA8DDEAA22B,Abutilon theophrasti,,,Europäische Samtpappel,u,,,,u,,,,
7A13013D-09D6-4622-ACD3-18AAA11F178D,Acaena buchananii,,,Blaugrünes Stachelnüsschen,u,,,,-,,,,
8ED13ACC-7632-42E1-A2A7-1AE0A6FB90CB,Acanthus hungaricus,syn. A. balcanicus,,Balkan-Akanthus,u,,,,-,,,,
78553A1D-C1D2-4549-B4C2-5622EA94EBF3,Acer campestre,,,Feld-Ahorn,e,,,,e,,,,"Da alte Angaben von Wildvorkommen aus Tirol fehlen, ist von einem neophytischen Vorkommen auszugehen. – OT: Etabliert im Lienzer Becken und im Unteren Iseltal (Stöhr ined.)."
4C4B0918-8469-42C3-A3CD-465B94ACCDD1,Acer ginnala,,,Feuer-Ahorn,u,,,,u,,,,
8AAF0477-75BF-483C-A288-71230866D0A5,Acer negundo,,,Eschen-Ahorn,e,,,,e?,,,,
94FB885F-C8C6-40A7-B4E4-03D62E5ACE50,Acer palmatum,,,Echter Fächer-Ahorn,u,,,,u,,,,
E6E8E8E9-BFEB-4128-BF3D-E6E011794F82,Acer platanoides,,,Spitz-Ahorn,LC,4,-1,-1,LC,4,0,0,OT: Vielfach auch gepflanzt und auch ausgehend von diesen Kulturen verwildert (oft aber nur Jungwuchs).
7E697C0C-B938-441C-B45B-B5426EFC5FC5,Acer pseudoplatanus,,,Berg-Ahorn,LC,5,0,0,LC,5,0,0,
E576D789-3A14-478E-9E3D-C179B7751B5B,Acer saccharinum,,,Silber-Ahorn,/,,,,u,,,,
93D2A375-6901-4FD3-AAAB-2FDC798C9D5F,Achillea atrata s. str.,,,Schwarzrandige Schafgarbe,LC,5,0,0,LC,5,0,0,
F7EE2D07-F0EA-4325-9766-FECFA529AD3E,Achillea clavenae,,,"Bittere Schafgarbe, Steinraute",LC,3,0,0,LC,4,0,0,
243FA9E7-5BCA-4773-B617-3EA61EE5A31A,Achillea collina,,A. millefolium agg.,Hügel-Schafgarbe,(EN),dd,dd,dd,EN,2,-2,-2,"NT: Ob die Angaben für Nordtirol stimmen, ist fraglich. – OT: Angaben z.T. zweifelhaft."
0F39514D-B615-41DE-B360-0C6E555DDA7C,Achillea crithmifolia,,,Meerfenchel-Schafgarbe,u?,,,,-,,,,
2DEFC621-3AEC-47EB-9B72-99C2C0FB8506,Achillea filipendulina,,,Farn-Schafgarbe,u,,,,-,,,,
